'	っ
,	、
-	ー
.	。
;'	ざい
;,	ぞう
;.	ぜい
;a	ざ
;c	じゅつ
;e	ぜ
;g	じゅう
;h'	じゃい
;h,	じょう
;h.	じぇい
;ha	じゃ
;he	じぇ
;hi	じぃ
;hj	じぇん
;hk	じゅん
;ho	じょ
;hp	じゅう
;hq	じょん
;ht'	じゃく
;ht,	じょく
;ht.	じぇき
;hta	じゃつ
;hte	じぇつ
;hti	じぃつ
;hto	じょつ
;htp	じゅく
;htu	じゅつ
;hty	じぃく
;hu	じゅ
;hx	じぃん
;hy	じゅい
;hz	じゃん
;i	じ
;j	ぜん
;k	ずん
;m	じょう
;o	ぞ
;p	ずう
;q	ぞん
;r	じゅく
;t'	ざく
;t,	ぞく
;t.	ぜき
;ta	ざつ
;te	ぜつ
;ti	じつ
;to	ぞつ
;tp	ずく
;tu	ずつ
;ty	じく
;u	ず
;v	じょく
;w	じょつ
;x	じん
;y	ずい
;z	ざん
[	「
]	」
a	あ
b'	ばい
b,	ぼう
b.	べい
ba	ば
bc	びゅつ
be	べ
bg	びゅく
bi	び
bj	べん
bk	ぶん
bm	びょく
bn'	びゃい
bn,	びょう
bn.	びぇい
bna	びゃ
bne	びぇ
bni	びぃ
bnj	びぇん
bnk	びゅん
bno	びょ
bnp	びゅう
bnq	びょん
bnt'	びゃく
bnt,	びょく
bnt.	びぇき
bnta	びゃつ
bnte	びぇつ
bnti	びぃつ
bnto	びょつ
bntp	びゅく
bntu	びゅつ
bnty	びぃく
bnu	びゅ
bnx	びぃん
bny	びゅい
bnz	びゃん
bo	ぼ
bp	ぶう
bq	ぼん
br	びゅう
bt'	ばく
bt,	ぼく
bt.	べき
bta	ばつ
bte	べつ
bti	びつ
bto	ぼつ
btp	ぶく
btu	ぶつ
bty	びく
bu	ぶ
bv	びょう
bw	びょつ
bx	びん
by	ぶい
bz	ばん
c'	かい
c,	こう
c.	けい
ca	か
cc	きゅつ
ce	け
cg	きゅう
ch'	きゃい
ch,	きょう
ch.	きぇい
cha	きゃ
che	きぇ
chi	きぃ
chj	きぇん
chk	きゅん
cho	きょ
chp	きゅう
chq	きょん
cht'	きゃく
cht,	きょく
cht.	きぇき
chta	きゃつ
chte	きぇつ
chti	きぃつ
chto	きょつ
chtp	きゅく
chtu	きゅつ
chty	きぃく
chu	きゅ
chx	きぃん
chy	きゅい
chz	きゃん
ci	き
cj	けん
ck	くん
cm	きょう
cn'	くぁい
cn,	くぉう
cn.	くぇい
cna	くぁ
cne	くぇ
cni	くぃ
cnj	くぇん
cnk	くぅん
cno	くぉ
cnp	くぅう
cnq	くぉん
cnt'	くぁく
cnt,	くぉく
cnt.	くぇき
cnta	くぁつ
cnte	くぇつ
cnti	くぃつ
cnto	くぉつ
cntp	くぅく
cntu	くぅつ
cnty	くぃく
cnu	くぅ
cnx	くぃん
cny	くぅい
cnz	くぁん
co	こ
cp	くう
cq	こん
cr	きゅく
ct'	かく
ct,	こく
ct.	けき
cta	かつ
cte	けつ
cti	きつ
cto	こつ
ctp	くく
ctu	くつ
cty	きく
cu	く
cv	きょく
cw	きょつ
cx	きん
cy	くい
cz	かん
d'	だい
d,	どう
d.	でい
da	だ
dc	ぢゅつ
de	で
dg	ぢゅく
dh'	でゃい
dh,	でょう
dh.	でぇい
dha	でゃ
dhe	でぇ
dhi	でぃ
dhj	でぇん
dhk	でゅん
dho	でょ
dhp	でゅう
dhq	でょん
dht'	でゃく
dht,	でょく
dht.	でぇき
dhta	でゃつ
dhte	でぇつ
dhti	でぃつ
dhto	でょつ
dhtp	でゅく
dhtu	でゅつ
dhty	でぃく
dhu	でゅ
dhx	でぃん
dhy	でゅい
dhz	でゃん
di	ぢ
dj	でん
dk	づん
dm	ぢょく
dn'	ぢゃい
dn,	ぢょう
dn.	ぢぇい
dna	ぢゃ
dne	ぢぇ
dni	ぢぃ
dnj	ぢぇん
dnk	ぢゅん
dno	ぢょ
dnp	ぢゅう
dnq	ぢょん
dnt'	ぢゃく
dnt,	ぢょく
dnt.	ぢぇき
dnta	ぢゃつ
dnte	ぢぇつ
dnti	ぢぃつ
dnto	ぢょつ
dntp	ぢゅく
dntu	ぢゅつ
dnty	ぢぃく
dnu	ぢゅ
dnx	ぢぃん
dny	ぢゅい
dnz	ぢゃん
do	ど
dp	づう
dq	どん
dr	ぢゅう
ds'	どぁい
ds,	どぉう
ds.	どぇい
dsa	どぁ
dse	どぇ
dsi	どぃ
dsj	どぇん
dsk	どぅん
dso	どぉ
dsp	どぅう
dsq	どぉん
dst'	どぁく
dst,	どぉく
dst.	どぇき
dsta	どぁつ
dste	どぇつ
dsti	どぃつ
dsto	どぉつ
dstp	どぅく
dstu	どぅつ
dsty	どぃく
dsu	どぅ
dsx	どぃん
dsy	どぅい
dsz	どぁん
dt'	だく
dt,	どく
dt.	でき
dta	だつ
dte	でつ
dti	ぢつ
dto	どつ
dtp	づく
dtu	づつ
dty	ぢく
du	づ
dv	ぢょう
dw	ぢょつ
dx	ぢん
dy	づい
dz	だん
e	え
f'	ぱい
f,	ぽう
f.	ぺい
fa	ぱ
fc	ぴゅつ
fe	ぺ
fg	ぴゅく
fi	ぴ
fj	ぺん
fk	ぷん
fm	ぴょく
fn'	ぴゃい
fn,	ぴょう
fn.	ぴぇい
fna	ぴゃ
fne	ぴぇ
fni	ぴぃ
fnj	ぴぇん
fnk	ぴゅん
fno	ぴょ
fnp	ぴゅう
fnq	ぴょん
fnt'	ぴゃく
fnt,	ぴょく
fnt.	ぴぇき
fnta	ぴゃつ
fnte	ぴぇつ
fnti	ぴぃつ
fnto	ぴょつ
fntp	ぴゅく
fntu	ぴゅつ
fnty	ぴぃく
fnu	ぴゅ
fnx	ぴぃん
fny	ぴゅい
fnz	ぴゃん
fo	ぽ
fp	ぷう
fq	ぽん
fr	ぴゅう
ft'	ぱく
ft,	ぽく
ft.	ぺき
fta	ぱつ
fte	ぺつ
fti	ぴつ
fto	ぽつ
ftp	ぷく
ftu	ぷつ
fty	ぴく
fu	ぷ
fv	ぴょう
fw	ぴょつ
fx	ぴん
fy	ぷい
fz	ぱん
g'	がい
g,	ごう
g.	げい
ga	が
gc	ぎゅつ
ge	げ
gg	ぎゅく
gh'	ぐぁい
gh,	ぐぉう
gh.	ぐぇい
gha	ぐぁ
ghe	ぐぇ
ghi	ぐぃ
ghj	ぐぇん
ghk	ぐぅん
gho	ぐぉ
ghp	ぐぅう
ghq	ぐぉん
ght'	ぐぁく
ght,	ぐぉく
ght.	ぐぇき
ghta	ぐぁつ
ghte	ぐぇつ
ghti	ぐぃつ
ghto	ぐぉつ
